"Time (s)";"Acceleration (m/s²)"
3.752525500E0;7.457012594E-2
3.792900500E0;6.445356578E-2
3.833244500E0;4.791515484E-2
3.873588500E0;9.731535628E-2
3.913933500E0;6.903003529E-2
3.954283500E0;5.706268519E-2
3.994658500E0;7.175790757E-2
4.035002500E0;8.726223841E-2
4.075346500E0;6.801261976E-2
4.115690500E0;7.884268641E-2
4.156035500E0;4.561807618E-2
4.196409500E0;9.160832763E-2
4.236754500E0;8.430150077E-2
4.277098500E0;3.418603867E-2
4.317442500E0;7.269170791E-2
4.357786500E0;5.820479259E-2
4.398131500E0;5.720345691E-2
4.438505500E0;4.281024322E-2
4.478850500E0;1.816305980E-2
4.519194500E0;7.021395028E-2
4.559538500E0;3.764291257E-2
4.599882500E0;2.724612460E-2
4.640257500E0;3.726284355E-2
4.680601500E0;1.172966078E-2
4.720946500E0;4.495938733E-2
4.761290500E0;-4.736244678E-3
4.801634500E0;9.589579850E-3
4.842009500E0;3.391779765E-2
4.882353500E0;1.194849283E-2
4.922697500E0;4.091589153E-3
4.963052333E0;8.924166709E-3
5.003397333E0;1.470136195E-2
5.043741333E0;-9.046227336E-3
5.084116333E0;-7.297325134E-4
5.124460333E0;9.289179146E-3
5.164804333E0;-2.327104121E-2
5.205148333E0;-2.466516361E-2
5.245493333E0;-8.618649691E-3
5.285867333E0;-1.611624196E-2
5.326212333E0;1.436865538E-2
5.366556333E0;-2.881025478E-2
5.406900333E0;-4.338634014E-2
5.447244333E0;2.521290153E-2
5.487619333E0;-1.375425920E-2
5.527963333E0;2.368107721E-2
5.568308333E0;-2.630150691E-2
5.608652333E0;-1.577564165E-2
5.648996333E0;-2.123314038E-2
5.689340333E0;2.492975011E-2
5.729715333E0;-2.099018857E-2
5.770059333E0;-3.053591430E-2
5.810404333E0;-2.140767977E-2
5.850748333E0;4.174926594E-2
5.891092333E0;-3.840802073E-2
5.931446583E0;-2.254759446E-2
5.971790583E0;5.549738556E-3
6.012134583E0;-6.465558708E-3
6.052479583E0;-3.645271182E-2
6.092823583E0;-4.036771506E-3
6.133198583E0;6.861415207E-3
6.173542583E0;-3.076629460E-2
6.213886583E0;-1.063462347E-3
6.254230583E0;-1.846638411E-2
6.294574583E0;-7.853102982E-3
6.334949583E0;-1.011670634E-2
6.375293583E0;-1.759047121E-2
6.415638583E0;-3.736283094E-2
6.455982583E0;1.669146180E-2
6.496326583E0;-1.866679743E-2
6.536670583E0;-1.739283532E-2
6.577045583E0;-1.092084467E-2
6.617389583E0;-2.277066574E-2
6.657734583E0;-8.624204546E-3
6.698078583E0;-1.742674917E-2
6.738422583E0;-2.827786580E-2
6.778797583E0;8.003814965E-3
6.819141583E0;-3.814328805E-2
6.859485583E0;1.759880349E-2
6.899830583E0;-3.168752342E-2
6.940185250E0;-1.298520416E-3
6.980560250E0;-6.751487553E-3
7.020904250E0;-2.369481817E-2
7.061248250E0;-1.407395571E-2
7.101592250E0;7.030984461E-3
7.141937250E0;4.086472839E-3
7.182311250E0;-6.541630983E-2
7.222656250E0;-4.635234028E-3
7.263000250E0;2.082120404E-2
7.303344250E0;-1.061839744E-2
7.343688250E0;-3.377746448E-2
7.384032250E0;-8.685307950E-3
7.424407250E0;-1.728583127E-3
7.464751250E0;-2.009936526E-2
7.505096250E0;-1.482108369E-2
7.545440250E0;-1.994646057E-2
7.585784250E0;1.028627560E-2
7.626159250E0;-1.761459097E-2
7.666503250E0;-2.325583845E-2
7.706847250E0;-1.800518498E-2
7.747192250E0;2.778187573E-2
7.787536250E0;-1.385029972E-2
7.827911250E0;-2.189007506E-2
7.868255250E0;-1.051460937E-2
7.908599250E0;7.962592095E-3
7.948944583E0;-3.295636922E-2
7.989289583E0;1.991503179E-2
8.029663583E0;-1.002066582E-2
8.070008583E0;-2.218579799E-2
8.110352583E0;-4.385777190E-2
8.150696583E0;2.284010142E-2
8.191040583E0;-6.418780982E-3
8.231385583E0;-1.264182642E-2
8.271759583E0;-1.563180014E-2
8.312104583E0;-3.922604620E-3
8.352448583E0;-6.972366124E-3
8.392792583E0;-1.074542820E-2
8.433136583E0;-1.988331065E-2
8.473511583E0;-9.856797606E-3
8.513855583E0;2.960620701E-2
8.554199583E0;-6.904392242E-3
8.594544583E0;-1.178944856E-2
8.634888583E0;-5.181217790E-3
8.675263583E0;3.468846068E-2
8.715607583E0;-3.395054206E-2
8.755951583E0;1.177219927E-2
8.796295583E0;-8.088307232E-3
8.836640583E0;-2.065207332E-2
8.877014583E0;-3.029296249E-2
8.917359583E0;1.288141608E-2
8.957714250E0;1.403039396E-3
8.998058250E0;-1.860130861E-2
9.038402250E0;7.244407833E-3
9.078777250E0;1.602400213E-2
9.119121250E0;-4.639473259E-3
9.159466250E0;-3.520389274E-2
9.199810250E0;1.506842092E-2
